EEG(uV),delta,theta,alpha,beta
4.22363,0.203773,0.929033,-0.409767,-2.28737
5.5481,-0.0266279,1.21052,-0.456647,-1.10609
7.87354,-0.248922,1.44952,-0.501176,0.728268
8.48999,-0.458589,1.64556,-0.494983,2.08305
6.23169,-0.650254,1.80444,-0.39862,2.23269
2.86255,-0.818315,1.93264,-0.215466,1.06031
0.262451,-0.958251,2.03016,-0.00892746,-0.966312
0.390625,-1.06785,2.08685,0.120288,-2.83578
0.372314,-1.14763,2.08554,0.0898001,-3.36995
1.33057,-1.20028,2.0096,-0.114645,-2.02714
3.87573,-1.22968,1.85036,-0.426581,0.577692
8.02002,-1.23964,1.6124,-0.720205,3.10998
10.144,-1.23259,1.31615,-0.849589,4.44625
7.83691,-1.20869,0.99551,-0.702497,4.09862
3.62549,-1.16618,0.688162,-0.261556,2.05595
1.51978,-1.10306,0.422243,0.363408,-1.19792
3.35693,-1.01864,0.208187,0.972306,-4.37057
6.51855,-0.914069,0.0414109,1.3716,-5.65075
8.17871,-0.791347,-0.0877357,1.46532,-4.00131
7.47681,-0.652216,-0.185765,1.27794,-0.320706
5.57861,-0.497749,-0.255154,0.906452,2.97684
4.70581,-0.328859,-0.298782,0.452663,3.83662
5.3894,-0.147031,-0.323754,-0.0130956,2.17909
6.86035,0.0454526,-0.340725,-0.445683,-0.227327
7.23267,0.245864,-0.359916,-0.803615,-1.42498
6.12183,0.451492,-0.38796,-1.04418,-0.872674
4.30298,0.659688,-0.428306,-1.14092,0.384797
3.24097,0.867454,-0.484027,-1.10242,0.93662
3.80859,1.07105,-0.559543,-0.96922,0.342387
5.62134,1.26608,-0.658948,-0.787483,-0.615262
6.75659,1.44813,-0.781935,-0.580363,-0.840022
6.11572,1.61359,-0.920979,-0.342438,-0.0440268
5.28564,1.75996,-1.06262,-0.0620576,0.985104
6.12793,1.88568,-1.19165,0.25217,1.22024
8.18481,1.98992,-1.29413,0.568571,0.464754
9.18579,2.07282,-1.35738,0.851848,-0.511664
8.44727,2.13575,-1.36946,1.07729,-0.896045
7.17773,2.18118,-1.32127,1.22406,-0.685764
7.16553,2.21204,-1.21023,1.26321,-0.488696
7.95898,2.23115,-1.04214,1.16374,-0.645691
7.4585,2.24093,-0.829449,0.913825,-0.846023
5.60303,2.24338,-0.588511,0.532854,-0.653631
3.4668,2.23981,-0.338619,0.0615049,-0.13183
3.30811,2.23028,-0.101903,-0.454018,0.289281
4.99878,2.2135,0.098955,-0.962293,0.454051
6.10962,2.18735,0.246096,-1.39477,0.691997
4.92554,2.14969,0.331448,-1.66784,1.25821
2.16064,2.09885,0.356845,-1.71391,1.75767
-0.183105,2.03324,0.329172,-1.52106,1.43164
-1.03149,1.9507,0.255051,-1.14487,0.0808755
-0.32959,1.84823,0.139466,-0.679421,-1.48338
0.799561,1.72237,-0.0112802,-0.209662,-2.06333
0.0305176,1.57011,-0.185735,0.219398,-1.18073
-1.27563,1.38949,-0.366606,0.597854,0.428404
-0.20752,1.17975,-0.533689,0.925323,1.4747
4.3457,0.941468,-0.666314,1.19946,1.36486
9.06982,0.677283,-0.74191,1.43035,0.720312
10.2661,0.393047,-0.733532,1.65023,0.494024
8.02612,0.0982277,-0.612792,1.88576,0.681116
5.2002,-0.195162,-0.359971,2.10765,0.259269
5.57251,-0.4746,0.025105,2.2122,-1.43958
7.17773,-0.728732,0.519818,2.06644,-3.56309
7.35474,-0.947971,1.08466,1.58563,-4.32731
4.15649,-1.12454,1.67173,0.778102,-2.85553
-0.720215,-1.25298,2.22919,-0.271482,-0.187816
-1.94702,-1.33122,2.70194,-1.44714,1.74735
0.714111,-1.36124,3.0352,-2.62103,2.11013
4.04663,-1.34836,3.18484,-3.63726,1.85206
4.06494,-1.29941,3.12928,-4.3073,2.32031
0.891113,-1.22118,2.87365,-4.45898,3.43501
-1.51367,-1.12026,2.44331,-4.01686,3.66893
-0.933838,-1.00356,1.87332,-3.04597,1.89444
1.44653,-0.878616,1.20247,-1.72043,-1.0992
4.1687,-0.75277,0.473921,-0.246513,-3.21925
5.01709,-0.631974,-0.26299,1.1989,-3.09893
5.53589,-0.519894,-0.954645,2.48355,-1.31966
5.57251,-0.417813,-1.5495,3.50456,0.318196
4.30298,-0.325104,-2.00569,4.17419,0.49513
1.64795,-0.240079,-2.29738,4.41907,-0.709
-1.08032,-0.161096,-2.41922,4.1887,-2.23739
-2.84424,-0.087678,-2.38742,3.47179,-2.98954
-1.85547,-0.0211409,-2.23582,2.32008,-2.39248
-0.543213,0.035647,-2.00694,0.869282,-0.502894
1.58691,0.0792675,-1.74093,-0.663828,2.05658
2.7771,0.106975,-1.46724,-2.021,4.26255
3.50952,0.117606,-1.20141,-2.9677,5.10629
3.9856,0.111923,-0.94695,-3.35641,4.1404
3.02124,0.0924452,-0.700198,-3.16307,1.75783
1.86157,0.0628628,-0.45605,-2.48782,-1.0535
0.90332,0.0272262,-0.212976,-1.52385,-3.26567
1.37939,-0.0107884,0.0245961,-0.502643,-4.21812
2.90527,-0.0481708,0.247647,0.370261,-3.72798
