EEG(uV),delta,theta,alpha,beta
18.4631,-6.70996,-0.853375,1.56861,2.89163
13.7512,-6.69898,-0.94366,1.5205,1.25347
9.30786,-6.66298,-0.922925,1.48098,-1.22186
7.83081,-6.59966,-0.802373,1.3336,-3.68859
8.73413,-6.50964,-0.614587,0.954552,-4.93423
9.11255,-6.39641,-0.40322,0.297069,-3.91274
7.87354,-6.26521,-0.210309,-0.567844,-0.784886
7.09839,-6.12219,-0.0683245,-1.47944,2.80064
6.06079,-5.97386,0.00210066,-2.2524,4.84844
4.79126,-5.82691,-0.00836273,-2.7351,4.51279
3.80249,-5.68796,-0.0991567,-2.84276,2.49125
3.4668,-5.5634,-0.261475,-2.56588,0.217753
2.92969,-5.45911,-0.479606,-1.95882,-1.18741
1.98975,-5.38007,-0.732253,-1.11889,-1.46487
1.94092,-5.33009,-0.994514,-0.166029,-1.08551
4.66919,-5.31159,-1.23971,0.778748,-0.641141
8.48389,-5.32489,-1.43929,1.62031,-0.287969
9.67407,-5.36737,-1.56164,2.30866,0.163573
8.06885,-5.43292,-1.5742,2.82681,0.614279
6.01196,-5.51255,-1.45113,3.15146,0.449416
6.20117,-5.59586,-1.18247,3.22767,-0.736351
8.72192,-5.67236,-0.77769,2.99054,-2.31341
10.5286,-5.73186,-0.261494,2.41759,-2.91611
9.66797,-5.76434,0.333455,1.56132,-1.78211
6.32324,-5.76015,0.970309,0.530458,0.317637
2.38647,-5.71108,1.60674,-0.561073,1.69307
0.10376,-5.61184,2.19282,-1.63089,1.33836
0.109863,-5.46117,2.67344,-2.62263,-0.103644
0.43335,-5.26176,2.99669,-3.47195,-0.968261
1.11694,-5.01927,3.12443,-4.08287,-0.151085
1.80664,-4.74106,3.03993,-4.3393,1.905
2.48413,-4.43499,2.7503,-4.14318,3.68511
2.97241,-4.10854,2.2844,-3.45499,3.90405
3.24707,-3.76826,1.68754,-2.31807,2.39185
4.40674,-3.41947,1.01472,-0.858913,0.00984115
5.34058,-3.06608,0.324096,0.736589,-2.06037
4.44946,-2.71052,-0.328648,2.25927,-3.06828
2.36816,-2.35403,-0.896202,3.508,-3.06685
2.05078,-1.9973,-1.34547,4.31257,-2.64013
3.67432,-1.64118,-1.66029,4.56179,-2.16722
5.15137,-1.28663,-1.83884,4.2372,-1.43495
4.93164,-0.93439,-1.88812,3.42611,-0.13241
3.83301,-0.584598,-1.82057,2.293,1.42374
2.46582,-0.237103,-1.65409,1.02479,2.36677
1.64795,0.107965,-1.41308,-0.215484,2.12031
0.726318,0.449686,-1.12765,-1.30772,0.988131
1.79443,0.786196,-0.830464,-2.17111,-0.119291
3.8147,1.11498,-0.55158,-2.75007,-0.41555
4.99878,1.43359,-0.312827,-3.00245,0.233546
4.32129,1.74038,-0.124575,-2.90449,1.22175
3.10059,2.03469,0.0126695,-2.47361,1.58812
3.58887,2.31647,0.103472,-1.78581,0.777028
5.34058,2.58588,0.15393,-0.962625,-0.782068
6.9458,2.84337,0.171692,-0.131796,-1.9533
5.62134,3.08999,0.167086,0.605776,-1.93671
1.54419,3.32729,0.151106,1.1773,-1.06833
-2.31323,3.55632,0.129407,1.51747,-0.475438
-2.87476,3.77632,0.0970637,1.56349,-0.825704
0.0854492,3.98417,0.0402556,1.28884,-1.46473
3.93066,4.17523,-0.0542314,0.753085,-0.991228
5.76172,4.34519,-0.187971,0.11551,1.18008
6.4209,4.49171,-0.346218,-0.414748,3.90406
6.89087,4.61493,-0.501867,-0.664607,5.13296
6.23169,4.71722,-0.624071,-0.563899,3.71622
4.46777,4.80234,-0.68693,-0.163709,0.338158
2.63062,4.87441,-0.67621,0.38791,-3.16227
3.04565,4.93687,-0.592566,0.898565,-5.12125
4.60815,4.992,-0.44958,1.19943,-4.84098
5.46265,5.04116,-0.267374,1.20378,-2.67549
5.26123,5.08533,-0.0660581,0.925797,0.220739
5.3772,5.12547,0.137401,0.454111,2.43314
6.70166,5.16255,0.329505,-0.092568,3.09256
7.43408,5.19757,0.500379,-0.598942,2.37906
6.71997,5.23166,0.644103,-0.973441,1.1621
5.15747,5.26601,0.757477,-1.1661,0.139023
3.80249,5.30131,0.837077,-1.18077,-0.575962
4.24805,5.33723,0.877143,-1.06731,-1.10296
5.62744,5.37227,0.870743,-0.890654,-1.31914
7.15332,5.40424,0.81385,-0.695071,-0.917198
7.93457,5.43097,0.709238,-0.488347,0.103284
7.76367,5.45093,0.567321,-0.254651,1.18143
6.65894,5.46329,0.403356,0.0169139,1.54715
6.35376,5.46759,0.232814,0.309955,0.858924
7.09839,5.46332,0.0678443,0.581004,-0.452197
7.69653,5.44976,-0.0832921,0.781175,-1.46448
6.04858,5.42618,-0.215072,0.878305,-1.5236
2.86865,5.39162,-0.325002,0.858773,-0.831331
0.915527,5.34443,-0.416086,0.714282,-0.203726
2.91138,5.28163,-0.497785,0.441646,-0.125693
8.09326,5.19926,-0.581172,0.0703565,-0.119093
12.1704,5.09397,-0.669362,-0.307536,0.71698
12.5366,4.96478,-0.750585,-0.550905,2.42723
9.14917,4.81388,-0.801017,-0.539529,3.66153
5.35278,4.6456,-0.796868,-0.256134,2.75103
3.93677,4.46445,-0.727427,0.185688,-0.511543
5.09033,4.27357,-0.60015,0.595364,-4.24087
6.4209,4.07438,-0.435586,0.80419,-5.81118
5.67627,3.86728,-0.257814,0.739735,-4.06082
3.51562,3.65218,-0.0879608,0.433189,-0.299103
2.03247,3.42862,0.0566993,-0.0247303,2.84663
2.44141,3.19535,0.161565,-0.530449,3.64356
3.32642,2.95046,0.215714,-0.986568,2.44597
2.99072,2.69184,0.214959,-1.30423,0.899302
2.01416,2.41776,0.163432,-1.41385,0.20903
1.03149,2.12707,0.0718331,-1.28634,0.282085
1.7334,1.81911,-0.0458106,-0.944624,0.334662
4.01001,1.49375,-0.173758,-0.450186,-0.0228435
6.31104,1.15198,-0.293642,0.126431,-0.44363
7.18994,0.796576,-0.383364,0.726682,-0.444934
6.30493,0.432409,-0.419082,1.30012,-0.119461
4.99878,0.0660384,-0.380898,1.78507,-0.096503
4.67529,-0.295294,-0.259224,2.10031,-0.799039
3.94897,-0.64464,-0.0579863,2.16322,-1.86445
2.70996,-0.97601,0.206234,1.92178,-2.42986
2.0813,-1.28479,0.507277,1.37709,-1.95196
2.64282,-1.56797,0.813554,0.588982,-0.614887
3.54004,-1.82402,1.09338,-0.329374,0.975739
4.60815,-2.05237,1.32063,-1.22787,2.25727
5.23071,-2.25285,1.47868,-1.94949,2.88592
5.27954,-2.42526,1.56144,-2.36812,2.71626
4.48608,-2.5693,1.57138,-2.4213,1.78999
3.55225,-2.68476,1.51589,-2.12609,0.358711
3.27759,-2.77198,1.40356,-1.57107,-1.12629
1.86768,-2.83216,1.24203,-0.887287,-2.14348
-0.256348,-2.86758,1.0371,-0.213182,-2.38359
-1.26343,-2.88188,0.792205,0.332739,-1.94397
0.32959,-2.88005,0.509224,0.674221,-1.12187
2.70386,-2.86796,0.192147,0.799361,-0.0501239
2.87476,-2.85119,-0.147986,0.767042,1.22913
0.579834,-2.83424,-0.491882,0.676688,2.31175
-2.74658,-2.82049,-0.81703,0.610468,2.40573
-4.67529,-2.81312,-1.10564,0.589302,1.07732
-4.59595,-2.81589,-1.34933,0.576498,-1.02271
-3.33252,-2.83323,-1.54745,0.522442,-2.43216
-2.89917,-2.86955,-1.70129,0.411017,-2.06786
-4.04663,-2.92834,-1.80934,0.271433,-0.21947
-6.31714,-3.01179,-1.86717,0.151536,1.63966
-7.45239,-3.12107,-1.87098,0.0808128,2.09671
-7.1167,-3.25677,-1.82071,0.0562157,0.98404
-7.22046,-3.41894,-1.71977,0.057558,-0.582254
-9.19189,-3.6069,-1.57298,0.0680528,-1.33826
-11.0413,-3.81923,-1.38603,0.0766491,-1.01272
-9.50317,-4.05397,-1.16643,0.0714319,-0.273729
-4.62036,-4.30855,-0.92188,0.0499829,0.3135
-1.48926,-4.57881,-0.654625,0.0431076,0.879042
-3.69263,-4.85785,-0.357585,0.111227,1.58807
-8.54492,-5.13618,-0.0191795,0.291338,1.78538
-10.2173,-5.40336,0.364861,0.538633,0.502347
-7.31201,-5.64993,0.783488,0.732889,-2.01135
-2.49023,-5.86792,1.21403,0.758254,-3.84993
-0.732422,-6.04988,1.63358,0.585124,-3.13731
-2.13623,-6.18781,2.02702,0.279464,-0.128233
-5.2124,-6.27329,2.38528,-0.0610853,2.75091
-7.41577,-6.29877,2.69754,-0.379157,3.12823
-7.17773,-6.25913,2.94561,-0.677814,0.878331
-5.80444,-6.15234,3.10555,-0.984028,-1.86641
-4.63867,-5.9791,3.15496,-1.29743,-2.72904
-5.7251,-5.74204,3.08003,-1.57063,-1.13547
-8.81958,-5.44526,2.87754,-1.73488,1.37612
-11.9629,-5.09458,2.55141,-1.74624,2.64879
-14.0259,-4.69821,2.10779,-1.61227,1.76705
-12.8967,-4.26698,1.55367,-1.37791,-0.285291
-9.32007,-3.81368,0.900881,-1.08177,-1.57011
-4.82178,-3.35125,0.173543,-0.716336,-0.823445
-2.38037,-2.89069,-0.586594,-0.225646,1.5182
-2.63672,-2.43943,-1.32208,0.44959,3.60095
-3.41187,-2.00119,-1.96997,1.30642,3.53801
-3.39966,-1.57679,-2.47528,2.24257,0.914027
-2.64893,-1.16533,-2.80085,3.07788,-2.79355
-2.72217,-0.76499,-2.93078,3.61812,-5.3249
-3.27759,-0.373553,-2.86931,3.71831,-5.35479
-2.96021,0.0111494,-2.63808,3.31832,-3.28753
-1.70898,0.390868,-2.27202,2.45284,-0.565995
-1.22681,0.766883,-1.81354,1.24437,1.56811
-1.89819,1.1401,-1.30682,-0.123179,2.64163
-2.771,1.51098,-0.79436,-1.4496,2.7194
-1.82495,1.87924,-0.315404,-2.56269,2.09538
0.762939,2.2438,0.0965023,-3.33897,1.25458
1.84326,2.60322,0.417717,-3.70161,0.742018
-0.769043,2.95624,0.637078,-3.62188,0.686178
-3.9978,3.30157,0.752943,-3.13871,0.523268
-5.76782,3.63701,0.7665,-2.3717,-0.409343
-5.16357,3.95853,0.677734,-1.49293,-1.89818
-3.05786,4.26035,0.487799,-0.662464,-2.77031
-0.762939,4.53598,0.20542,0.030174,-1.98129
1.72729,4.77965,-0.14783,0.582319,0.283068
2.55127,4.98747,-0.536913,1.04905,2.6339
0.482178,5.15794,-0.918347,1.48901,3.50695
-2.79541,5.29139,-1.24987,1.91152,2.21252
-4.19922,5.38876,-1.50096,2.25413,-0.630925
-3.1311,5.45042,-1.65819,2.41128,-3.36977
-0.360107,5.47598,-1.72242,2.30063,-4.24361
1.84937,5.46512,-1.70051,1.92064,-2.58052
2.4353,5.41869,-1.5981,1.35848,0.608665
1.01929,5.33918,-1.41801,0.745232,3.2509
0.378418,5.23047,-1.16395,0.192718,3.68254
0.708008,5.09701,-0.84512,-0.244425,1.85466
0.891113,4.9432,-0.477526,-0.564084,-0.724477
-0.701904,4.77314,-0.0821736,-0.790432,-2.30166
-2.85645,4.59031,0.316647,-0.955889,-2.2541
-3.34473,4.39713,0.692039,-1.0947,-1.24744
-1.44653,4.19463,1.01662,-1.23044,-0.210325
-0.665283,3.98283,1.26773,-1.35483,0.566555
-1.57471,3.76155,1.43262,-1.42232,1.23672
-4.80347,3.53074,1.50904,-1.37824,1.66922
-9.10034,3.29004,1.50045,-1.2027,1.34947
-13.1348,3.0378,1.40945,-0.934999,0.0425267
-15.8936,2.77011,1.23407,-0.65884,-1.66261
-15.8264,2.48055,0.969455,-0.456002,-2.59749
-14.1418,2.16098,0.614709,-0.354547,-1.85026
-12.854,1.80321,0.18123,-0.30289,0.482161
-12.5305,1.40077,-0.302421,-0.190248,3.17974
-12.0178,0.950175,-0.792294,0.0958563,4.61052
-9.68628,0.451468,-1.2356,0.612879,3.88391
-7.16553,-0.0914931,-1.57776,1.34069,1.52059
-6.9519,-0.670857,-1.76818,2.19145,-1.05764
-9.61914,-1.27512,-1.76692,3.02579,-2.78384
-12.9883,-1.89041,-1.55349,3.66459,-3.64484
-14.1113,-2.50246,-1.13436,3.91484,-4.12651
-12.7991,-3.09817,-0.543359,3.62666,-4.20337
-11.5051,-3.66612,0.166515,2.7615,-3.21011
-12.6038,-4.19628,0.934874,1.42354,-0.817288
-16.3025,-4.67981,1.70208,-0.174794,2.09671
-18.8538,-5.10968,2.41127,-1.79061,3.88892
-18.1335,-5.48146,3.00863,-3.21453,3.64343
-15.2588,-5.79348,3.4479,-4.28537,2.12378
-13.3362,-6.04585,3.69892,-4.87512,1.01733
-14.1479,-6.23913,3.75396,-4.89123,1.18592
-15.1062,-6.37362,3.6264,-4.31138,1.83804
-15.332,-6.44955,3.34344,-3.21687,1.53279
-15.0024,-6.46753,2.93846,-1.78573,-0.18031
-15.387,-6.42878,2.44645,-0.246784,-2.325
-16.0217,-6.33514,1.90143,1.17406,-3.54532
-15.4419,-6.18914,1.33434,2.29384,-3.28027
-13.7573,-5.99393,0.772141,2.99917,-1.92685
-13.6719,-5.75293,0.238493,3.26045,-0.25542
-15.3687,-5.46955,-0.245996,3.12249,1.03758
-17.9443,-5.14736,-0.666258,2.66979,1.4554
-19.397,-4.79077,-1.01663,1.99006,0.89576
-19.9524,-4.40562,-1.30225,1.1619,-0.131402
-20.5078,-3.99932,-1.53622,0.266023,-0.742897
-20.813,-3.58039,-1.73437,-0.603164,-0.379818
-20.0745,-3.15789,-1.91037,-1.34136,0.734214
-18.4998,-2.74062,-2.07198,-1.84891,1.86545
-17.7124,-2.33633,-2.21855,-2.04776,2.3872
-18.1091,-1.95097,-2.34094,-1.90084,2.07374
-17.865,-1.58852,-2.42465,-1.43127,1.0207
-16.6565,-1.25107,-2.45432,-0.725767,-0.418188
-14.624,-0.938981,-2.41659,0.0879026,-1.65131
-13.7695,-0.650735,-2.30087,0.876756,-2.12759
-13.6536,-0.382957,-2.09998,1.52813,-1.781
-13.8977,-0.130745,-1.8123,1.95656,-1.11231
-13.9282,0.111634,-1.44443,2.10382,-0.70979
-14.4226,0.349997,-1.01233,1.94347,-0.716513
-15.2039,0.5896,-0.540481,1.48777,-0.812985
-16.1499,0.834582,-0.0598001,0.788834,-0.631844
-16.8091,1.08754,0.395242,-0.0676545,-0.0902292
-16.3452,1.3493,0.79033,-0.972013,0.637658
-15.5212,1.61909,1.09594,-1.80057,1.34306
-14.4775,1.895,1.29201,-2.42854,1.89456
-14.9109,2.1746,1.37088,-2.75075,2.15619
-15.6128,2.45528,1.33679,-2.70883,1.91624
-15.5457,2.73424,1.20277,-2.3117,1.04846
-14.6179,3.00848,0.987205,-1.6328,-0.204074
-14.0808,3.27488,0.712232,-0.784316,-1.2475
-15.1917,3.53053,0.402603,0.111696,-1.61141
-15.9302,3.77278,0.08326,0.938954,-1.38089
-14.7095,3.99901,-0.22379,1.59621,-1.00499
-11.3647,4.2068,-0.500211,2.01594,-0.682532
-8.21533,4.3945,-0.728625,2.18789,-0.160185
-7.31201,4.56224,-0.889739,2.16149,0.733461
-9.11255,4.71225,-0.963886,2.0117,1.52269
-12.3291,4.84816,-0.937893,1.7867,1.32509
-14.7522,4.9735,-0.813288,1.47658,-0.220022
-15.1672,5.09022,-0.609988,1.02945,-2.3129
-13.7268,5.19799,-0.362312,0.405614,-3.40524
-13.6414,5.29464,-0.109411,-0.369568,-2.4266
-16.1804,5.37692,0.11377,-1.19588,0.197036
-19.4214,5.44081,0.279889,-1.9397,2.71455
-19.9585,5.48124,0.367983,-2.48918,3.46807
-16.0156,5.4921,0.363728,-2.77478,2.37093
-10.9741,5.46725,0.265034,-2.74727,0.950703
-7.92847,5.40257,0.0893252,-2.3555,0.758169
-9.01489,5.29751,-0.125594,-1.56812,1.69868
-12.2437,5.15526,-0.331136,-0.432451,2.07039
-15.1733,4.98129,-0.483662,0.88345,0.348229
-16.333,4.78138,-0.557344,2.11402,-3.08986
-14.8438,4.56022,-0.547692,2.98327,-6.03148
-12.2131,4.32137,-0.465694,3.30824,-6.21059
-11.2366,4.06795,-0.327846,3.06136,-3.17451
-13.3179,3.80352,-0.149141,2.35915,1.27774
-17.3279,3.53195,0.0568293,1.38938,4.37157
-19.5923,3.25647,0.272948,0.328592,4.38954
-18.6523,2.97856,0.475689,-0.695795,1.93477
-16.1194,2.69787,0.639195,-1.58771,-0.622833
-14.3799,2.41322,0.744226,-2.24898,-1.15557
-13.9954,2.12392,0.78511,-2.57749,0.469925
-13.3667,1.83059,0.770304,-2.50281,2.47909
-11.9141,1.53528,0.718079,-2.02432,2.94441
-10.0159,1.2415,0.651573,-1.21938,1.43988
-9.57642,0.954099,0.595079,-0.222508,-0.896981
-10.9131,0.679084,0.570258,0.801891,-2.65117
-12.4817,0.42288,0.591108,1.6801,-3.28039
-12.8235,0.191279,0.659514,2.25184,-3.09671
-11.9263,-0.0113851,0.764702,2.40547,-2.47942
-11.145,-0.182412,0.887423,2.11465,-1.43558
-11.7554,-0.320474,1.00589,1.45035,0.0651482
-13.7939,-0.425431,1.09955,0.554519,1.604
-15.6311,-0.49855,1.14951,-0.409768,2.43192
-16.095,-0.542924,1.13786,-1.30012,2.15247
-14.4531,-0.563521,1.04928,-2.00756,1.20356
-11.615,-0.566511,0.875883,-2.44615,0.546837
-9.58252,-0.558019,0.622711,-2.54368,0.799965
-10.8643,-0.542965,0.309503,-2.25558,1.59685
-13.7695,-0.52478,-0.0342391,-1.60117,1.79629
-15.6555,-0.506144,-0.37897,-0.691897,0.50768
-15.2771,-0.490018,-0.703095,0.28558,-1.88962
-14.7705,-0.480061,-0.994414,1.13282,-3.82345
-14.8071,-0.480306,-1.24647,1.70759,-3.84595
-14.4348,-0.494588,-1.45459,1.95553,-1.92027
-12.6526,-0.526061,-1.61377,1.90327,0.653077
-11.4929,-0.576732,-1.71753,1.63469,2.44239
-12.5977,-0.647067,-1.7577,1.25969,2.82678
-15.2588,-0.736086,-1.72721,0.874205,1.95596
-17.5476,-0.842159,-1.62537,0.524679,0.322303
-18.3838,-0.964038,-1.46187,0.202402,-1.3866
-18.4326,-1.10145,-1.25607,-0.126173,-2.34804
-17.8345,-1.25502,-1.03163,-0.477055,-1.98658
-16.571,-1.42561,-0.809956,-0.823935,-0.438731
-15.0391,-1.61359,-0.604949,-1.10147,1.46312
-15.2527,-1.81812,-0.420651,-1.23058,2.71369
-17.2302,-2.03692,-0.252911,-1.15616,2.66626
-20.1233,-2.26671,-0.0948996,-0.882374,1.27499
-21.4417,-2.50422,0.0564715,-0.483359,-0.866688
-20.105,-2.74698,0.19778,-0.0742442,-2.66754
-17.9199,-2.99327,0.322252,0.245525,-3.02608
-15.7043,-3.24127,0.426316,0.439104,-1.58825
-14.3921,-3.48809,0.51442,0.537856,0.828674
-15.2039,-3.72919,0.598834,0.606087,2.68596
-18.5974,-3.9587,0.694209,0.689116,2.74603
-21.5637,-4.17055,0.809254,0.774444,0.872895
-21.5027,-4.35995,0.940473,0.793093,-1.82627
-19.1772,-4.52411,1.073,0.667932,-3.56666
-17.3035,-4.66175,1.18843,0.376474,-3.02844
-17.7185,-4.77212,1.27335,-0.0235739,-0.44106
-18.866,-4.8543,1.32239,-0.426166,2.41626
-19.5068,-4.90733,1.33555,-0.734722,3.57827
-19.4519,-4.93067,1.3142,-0.899318,2.47502
-19.7083,-4.92443,1.2594,-0.917617,0.230247
-20.4041,-4.88947,1.17216,-0.817313,-1.49818
-22.0642,-4.82733,1.05362,-0.641023,-1.87806
-23.6877,-4.74048,0.904307,-0.438685,-1.26206
-22.8638,-4.63246,0.723631,-0.258928,-0.485342
-19.7021,-4.50766,0.511848,-0.129933,0.0549362
-17.6392,-4.37039,0.274864,-0.0379079,0.601954
-17.7795,-4.22376,0.0277936,0.0699347,1.36058
-17.4316,-4.06914,-0.20688,0.248233,1.89191
-15.0574,-3.90626,-0.404946,0.513742,1.53053
-12.0117,-3.73343,-0.544672,0.83911,0.310902
-11.9751,-3.54741,-0.608096,1.17331,-0.954134
-14.3433,-3.34366,-0.583147,1.45367,-1.62162
-15.6555,-3.11724,-0.46875,1.60113,-1.85887
-14.8621,-2.86417,-0.278937,1.52834,-2.08823
-13.8123,-2.58222,-0.0410144,1.17759,-2.1444
-14.9841,-2.27086,0.211058,0.559673,-1.46029
-18.2983,-1.93126,0.442334,-0.245311,-0.0197034
-20.2271,-1.56661,0.618597,-1.12407,1.34356
-19.4458,-1.18261,0.707276,-1.96327,1.82865
-17.2729,-0.787255,0.682038,-2.65283,1.60226
-17.3523,-0.389752,0.530005,-3.07834,1.50695
-19.5862,0.000662895,0.25564,-3.1389,1.88176
-20.5261,0.375155,-0.122084,-2.79029,2.06941
-17.6636,0.725295,-0.575304,-2.07046,1.33102
-13.3179,1.04355,-1.06936,-1.07655,-0.0277316
-10.3088,1.32455,-1.5611,0.0821177,-0.892406
-9.14307,1.56636,-1.99912,1.30602,-0.693556
-8.89893,1.77084,-2.33003,2.49029,-0.119127
-8.61816,1.94302,-2.50856,3.50451,-0.309775
-7.86133,2.08997,-2.50621,4.19968,-1.56845
-7.93457,2.21978,-2.31545,4.44322,-3.04097
-8.70361,2.34061,-1.94971,4.15774,-3.58083
-11.8408,2.45982,-1.44158,3.34082,-2.79354
-16.4124,2.5828,-0.840851,2.05958,-1.28183
-19.3604,2.71166,-0.211909,0.432788,0.01461
-19.3176,2.84434,0.372189,-1.37797,0.74308
-17.8284,2.97488,0.841117,-3.16206,1.42118
-16.4307,3.0948,1.14122,-4.66291,2.70392
-15.4175,3.19501,1.24586,-5.61668,4.40644
-14.856,3.26726,1.15821,-5.82006,5.43293
-14.0625,3.30511,0.907376,-5.19339,4.72733
-14.1846,3.30435,0.540603,-3.80937,2.23439
-15.4053,3.26297,0.114102,-1.88116,-1.05158
-16.9739,3.18076,-0.316394,0.279523,-3.84725
-18.6707,3.05864,-0.703831,2.32272,-5.32451
-20.2393,2.89787,-1.01503,3.92873,-5.31283
-20.1965,2.69962,-1.232,4.87073,-4.08893
-20.1721,2.46485,-1.34947,5.05736,-2.09621
-21.0693,2.19463,-1.37055,4.54239,0.159683
-23.5352,1.89042,-1.30346,3.49403,2.05884
-26.4404,1.55382,-1.16103,2.13561,2.97159
-28.3691,1.18616,-0.961677,0.687114,2.6528
-28.5461,0.788099,-0.728571,-0.666539,1.55832
-28.125,0.359763,-0.485496,-1.77841,0.617549
-28.9734,-0.098533,-0.251252,-2.53483,0.497246
-31.7078,-0.585699,-0.0366238,-2.86536,0.990354
-35.4004,-1.09986,0.153858,-2.76672,1.18641
-37.8235,-1.63894,0.317327,-2.31604,0.371522
-37.207,-2.20116,0.449839,-1.64928,-1.15913
-35.0708,-2.78488,0.54872,-0.907225,-2.20895
-33.9966,-3.38755,0.618224,-0.183551,-1.74456
-36.0901,-4.00463,0.672663,0.485618,0.00496314
-39.1418,-4.62944,0.732728,1.0857,1.55692
-40.4175,-5.25395,0.817175,1.58041,1.48379
-38.2446,-5.86973,0.936851,1.90789,-0.158095
-35.1562,-6.46805,1.09573,2.02076,-1.78096
-33.9966,-7.03921,1.29637,1.92693,-1.79237
-35.1196,-7.57195,1.5429,1.68658,-0.196244
-37.7808,-8.05378,1.83773,1.36673,1.40513
-39.3677,-8.47228,2.17492,0.996364,1.40779
-38.623,-8.81643,2.53602,0.561698,-0.233153
-37.561,-9.07735,2.8925,0.0427088,-1.98634
-37.0605,-9.2482,3.21255,-0.545302,-2.22593
-37.4329,-9.32381,3.46742,-1.14155,-0.722154
-37.4756,-9.3006,3.63424,-1.66292,1.28852
-37.1704,-9.17663,3.69649,-2.03503,2.35067
-39.0808,-8.95181,3.64364,-2.21231,1.96256
-42.9016,-8.62813,3.46978,-2.18982,0.618217
-46.936,-8.21043,3.17029,-2.01092,-0.913409
-47.0764,-7.70712,2.73927,-1.75623,-2.01582
-43.3044,-7.13018,2.1724,-1.50003,-2.11162
-38.0554,-6.49361,1.47628,-1.25314,-0.721493
-34.7046,-5.81094,0.678387,-0.940822,1.921
-34.3933,-5.09307,-0.170597,-0.447007,4.42949
-35.199,-4.34755,-1.0054,0.298701,4.92829
-34.729,-3.57914,-1.76077,1.25382,2.56973
-32.9895,-2.79088,-2.38385,2.26356,-1.50682
-31.1096,-1.98476,-2.83942,3.12244,-4.8792
-30.4382,-1.16189,-3.10988,3.6489,-5.69917
-30.9265,-0.322741,-3.19383,3.73053,-4.01174
-31.8848,0.532341,-3.10577,3.33274,-1.42056
-32.8857,1.40226,-2.87566,2.48882,0.398121
-33.1299,2.28443,-2.54658,1.2893,0.905478
-33.2031,3.1744,-2.1695,-0.125648,0.732535
-32.2021,4.0659,-1.79628,-1.57734,0.81199
-30.6519,4.95133,-1.47225,-2.86833,1.53512
-29.9194,5.82251,-1.23013,-3.81132,2.54948
-29.9561,6.67136,-1.08714,-4.2651,3.11271
-30.1147,7.49024,-1.04599,-4.16893,2.64044
-30.2429,8.27196,-1.09846,-3.55879,1.14289
-29.7363,9.00971,-1.22904,-2.55547,-0.73074
-28.9246,9.69712,-1.41747,-1.33003,-2.10489
-28.5828,10.3285,-1.64012,-0.0627687,-2.4456
-27.4048,10.8991,-1.87119,1.08918,-1.85509
-26.4587,11.4052,-2.08429,2.01082,-0.880512
-24.9634,11.8447,-2.25387,2.63727,-0.0586724
-22.9858,12.217,-2.35653,2.95293,0.387058
-20.6116,12.5232,-2.37196,2.98435,0.541825
-18.5242,12.7666,-2.28365,2.78838,0.592209
-17.2913,12.9525,-2.08001,2.43483,0.59821
-18.0908,13.0879,-1.75686,1.98484,0.416657
-19.5435,13.1807,-1.32102,1.47074,-0.156676
-20.2698,13.2385,-0.793615,0.890239,-1.09392
-19.0369,13.2674,-0.209709,0.225575,-1.92384
-16.9312,13.2719,0.387165,-0.518974,-1.92177
-14.6301,13.2551,0.953797,-1.2873,-0.707293
-13.3545,13.2194,1.45512,-1.97346,1.26676
-13.2263,13.1672,1.86779,-2.45713,2.87948
-13.9587,13.1006,2.17898,-2.6518,3.1046
-14.7156,13.0214,2.38255,-2.5389,1.75549
-15.3076,12.9302,2.47535,-2.17109,-0.377764
-14.8132,12.8259,2.45587,-1.64666,-2.07589
-13.3728,12.706,2.3255,-1.06991,-2.46558
-11.3159,12.5672,2.09151,-0.515842,-1.47651
-9.3811,12.4058,1.76996,-0.0140929,0.223164
-8.05664,12.219,1.38637,0.442585,1.66556
-7.74536,12.0051,0.973222,0.872345,2.10719
-8.18481,11.7635,0.56479,1.27583,1.37015
-9.57031,11.4943,0.190919,1.62005,-0.137913
-11.3159,11.1976,-0.128328,1.84152,-1.6929
-10.9497,10.8727,-0.385349,1.86841,-2.60438
-9.27734,10.5181,-0.583376,1.65645,-2.43096
-7.04346,10.1313,-0.730719,1.22306,-1.11096
-6.71997,9.71059,-0.834357,0.654831,0.87501
-8.01392,9.25489,-0.897229,0.0758239,2.52993
-8.6853,8.76418,-0.920372,-0.405061,2.86275
-8.06274,8.23887,-0.906513,-0.729921,1.68477
-6.41479,7.67958,-0.860939,-0.889867,-0.109063
-5.75562,7.08739,-0.789272,-0.900403,-1.24408
-5.95093,6.46419,-0.695247,-0.784162,-1.15688
-5.48096,5.81278,-0.580831,-0.571433,-0.36492
-3.17993,5.13671,-0.447431,-0.302587,0.2364
-0.543213,4.44046,-0.295596,-0.0175063,0.301342
0.88501,3.72971,-0.123408,0.258502,0.145939
0,3.01158,0.0733606,0.511923,0.0784549
-1.95923,2.29413,0.297356,0.719817,-0.0849388
-4.26636,1.58519,0.543813,0.832284,-0.714119
-6.63452,0.891017,0.796604,0.779726,-1.73012
-7.47681,0.215291,1.02868,0.504232,-2.46211
-6.82983,-0.441214,1.20725,-0.00170228,-2.13914
-4.41284,-1.0801,1.30231,-0.668318,-0.501379
-1.71509,-1.70413,1.29585,-1.34919,1.94282
-0.170898,-2.31574,1.18796,-1.85641,4.121
-0.738525,-2.91603,0.996932,-2.02306,4.90557
